epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,2135.09,0.73375,0.38937,0.9595,0.89995,0.89074,0.91807,0.67915,0.9601,0.61004,1.1767,5.7824e-05,5.7824e-05,5.7824e-05
82,2164.3,0.70796,0.37275,0.95167,0.89791,0.90004,0.92141,0.68171,0.96521,0.60676,1.16556,5.50718e-05,5.50718e-05,5.50718e-05
83,2193.05,0.73472,0.38052,0.9618,0.89552,0.90396,0.92019,0.68646,0.94599,0.59936,1.16232,5.23196e-05,5.23196e-05,5.23196e-05
84,2222.05,0.70891,0.38286,0.94936,0.89458,0.90804,0.92163,0.69172,0.94034,0.5808,1.16951,4.95674e-05,4.95674e-05,4.95674e-05
85,2250.76,0.704,0.36786,0.95316,0.90061,0.91985,0.93348,0.69247,0.95599,0.55953,1.17973,4.68152e-05,4.68152e-05,4.68152e-05
86,2279.85,0.74346,0.39908,0.96075,0.90331,0.90904,0.92863,0.69665,0.93315,0.57804,1.16266,4.4063e-05,4.4063e-05,4.4063e-05
87,2309.15,0.69108,0.36709,0.94621,0.89592,0.91055,0.92702,0.69301,0.93598,0.58399,1.1712,4.13108e-05,4.13108e-05,4.13108e-05
88,2332.8,0.70064,0.35884,0.94088,0.91162,0.90924,0.9333,0.69683,0.93195,0.56395,1.17213,3.85586e-05,3.85586e-05,3.85586e-05
89,2356.37,0.70467,0.36766,0.94983,0.90787,0.92295,0.93459,0.69224,0.95007,0.56956,1.17441,3.58064e-05,3.58064e-05,3.58064e-05
90,2385.15,0.67584,0.35829,0.93698,0.90434,0.91766,0.93492,0.70203,0.93562,0.56546,1.16817,3.30542e-05,3.30542e-05,3.30542e-05
91,2421.19,0.65863,0.32419,0.94985,0.904,0.91862,0.92972,0.69325,0.95081,0.57938,1.17832,3.0302e-05,3.0302e-05,3.0302e-05
92,2450.32,0.63818,0.31941,0.93843,0.89818,0.91421,0.9256,0.69563,0.92949,0.58529,1.16839,2.75498e-05,2.75498e-05,2.75498e-05
93,2478.59,0.63852,0.31337,0.93809,0.89784,0.91493,0.92514,0.69766,0.92225,0.58595,1.1676,2.47976e-05,2.47976e-05,2.47976e-05
94,2506.69,0.62625,0.31061,0.93433,0.89098,0.91561,0.92324,0.6929,0.93009,0.59347,1.1676,2.20454e-05,2.20454e-05,2.20454e-05
95,2535.9,0.60888,0.30173,0.92611,0.8934,0.913,0.92393,0.69763,0.92533,0.58883,1.17072,1.92932e-05,1.92932e-05,1.92932e-05
96,2565.39,0.60954,0.30147,0.92287,0.90127,0.90955,0.92742,0.69742,0.92938,0.58192,1.16793,1.6541e-05,1.6541e-05,1.6541e-05
97,2594.28,0.60591,0.30138,0.92422,0.90496,0.90565,0.92775,0.69597,0.9273,0.57982,1.16509,1.37888e-05,1.37888e-05,1.37888e-05
98,2622.93,0.60112,0.2969,0.92488,0.90123,0.90989,0.92913,0.69646,0.93356,0.58078,1.16999,1.10366e-05,1.10366e-05,1.10366e-05
99,2655.93,0.58978,0.29587,0.91529,0.8999,0.9113,0.92831,0.69834,0.92358,0.58098,1.16684,8.2844e-06,8.2844e-06,8.2844e-06
100,2684.69,0.5983,0.29746,0.92369,0.89897,0.91315,0.92828,0.70005,0.9228,0.57942,1.16458,5.5322e-06,5.5322e-06,5.5322e-06
