epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,3929.5,1.11641,0.78201,1.13622,0.61907,0.72596,0.72549,0.50435,1.13483,1.09452,1.20128,3.58064e-05,3.58064e-05,3.58064e-05
134,3958.67,1.10797,0.7618,1.13306,0.79139,0.82728,0.87406,0.60019,1.13004,0.76273,1.19827,3.39716e-05,3.39716e-05,3.39716e-05
135,3989.43,1.09095,0.76017,1.13416,0.82494,0.79579,0.86642,0.59764,1.12126,0.77638,1.19768,3.21368e-05,3.21368e-05,3.21368e-05
136,4014.04,1.10307,0.74464,1.12537,0.82462,0.86049,0.89238,0.611,1.10362,0.70749,1.21557,3.0302e-05,3.0302e-05,3.0302e-05
137,4046.52,1.10395,0.74641,1.14392,0.82482,0.85577,0.88187,0.60744,1.10986,0.73019,1.20378,2.84672e-05,2.84672e-05,2.84672e-05
138,4071.13,1.06513,0.74453,1.11792,0.78904,0.80287,0.84427,0.57595,1.14348,0.82292,1.21157,2.66324e-05,2.66324e-05,2.66324e-05
139,4101.72,1.09585,0.76446,1.12928,0.6855,0.85459,0.82842,0.56522,1.14908,0.86514,1.2111,2.47976e-05,2.47976e-05,2.47976e-05
140,4130.71,1.08144,0.76039,1.12417,0.80232,0.83572,0.88148,0.61128,1.10831,0.76222,1.20068,2.29628e-05,2.29628e-05,2.29628e-05
141,4163.25,0.9893,0.56496,1.14212,0.7659,0.80946,0.85147,0.57108,1.17918,0.82476,1.22114,2.1128e-05,2.1128e-05,2.1128e-05
142,4192.13,1.00537,0.55543,1.14461,0.72551,0.77788,0.80977,0.55405,1.13663,0.90142,1.21931,1.92932e-05,1.92932e-05,1.92932e-05
143,4220.1,1.0114,0.55499,1.16253,0.7492,0.80346,0.83287,0.57567,1.12956,0.85757,1.22204,1.74584e-05,1.74584e-05,1.74584e-05
144,4249.15,0.97545,0.53415,1.13778,0.78275,0.82781,0.87162,0.59784,1.13802,0.77997,1.2204,1.56236e-05,1.56236e-05,1.56236e-05
145,4278.13,0.95794,0.51994,1.13631,0.76759,0.81229,0.8535,0.58569,1.13896,0.82106,1.21855,1.37888e-05,1.37888e-05,1.37888e-05
146,4308.52,0.98331,0.52994,1.13694,0.78367,0.79532,0.85368,0.58237,1.14674,0.82087,1.22287,1.1954e-05,1.1954e-05,1.1954e-05
147,4337.12,0.97496,0.51348,1.14115,0.7838,0.81658,0.86562,0.59662,1.11962,0.79088,1.21441,1.01192e-05,1.01192e-05,1.01192e-05
148,4365.8,0.98135,0.51567,1.14308,0.76858,0.81205,0.84646,0.58396,1.12409,0.82574,1.21144,8.2844e-06,8.2844e-06,8.2844e-06
149,4394.5,0.96054,0.51029,1.13263,0.75245,0.80837,0.83763,0.56782,1.16643,0.86014,1.21654,6.4496e-06,6.4496e-06,6.4496e-06
150,4422.64,0.9486,0.50742,1.13911,0.75298,0.80518,0.83782,0.56663,1.16851,0.86272,1.22025,4.6148e-06,4.6148e-06,4.6148e-06
